player_id,player_name,pos,team,n,overall_avg,overall_sd,pos_avg,pos_sd,overall_min,overall_max,pos_min,pos_max
4984,Josh Allen,QB,BUF,25,1.32,0.63,1.28,0.54,1,3,1,3
6797,Justin Herbert,QB,LAC,25,2.24,0.78,2.2,0.82,1,4,1,4
4046,Patrick Mahomes,QB,KC,25,3.68,1.31,3.28,1.06,1,6,1,5
4881,Lamar Jackson,QB,BAL,25,5.2,1.8,4.52,1.42,1,9,1,8
6770,Joe Burrow,QB,CIN,25,5.2,1.83,4.6,1.29,2,9,2,6
6813,Jonathan Taylor,RB,IND,25,6.12,2.7,1.12,0.33,1,12,1,2
5849,Kyler Murray,QB,ARI,25,6.84,2.13,5.68,1.49,3,12,3,10
1466,Travis Kelce,TE,KC,25,9.6,3.16,1,0,4,17,1,1
3294,Dak Prescott,QB,DAL,25,10.68,2.19,7.92,1.44,5,14,5,11
4034,Christian McCaffrey,RB,SF,25,12.04,4.32,2,0.58,3,18,1,4
1234,Russell Wilson,QB,DEN,25,12.2,3.01,8.84,1.6,6,18,6,12
167,Tom Brady,QB,NA,25,12.24,3.72,8.64,1.47,7,20,6,12
4039,Cooper Kupp,WR,LAR,25,13.68,5.03,1.68,0.75,4,21,1,3
6794,Justin Jefferson,WR,MIN,25,14.68,5.98,1.56,0.65,5,27,1,3
421,Matthew Stafford,QB,LAR,25,15.12,2.67,10.48,1.19,9,23,8,12
6904,Jalen Hurts,QB,PHI,25,15.44,3.79,10.68,1.93,8,23,7,14
96,Aaron Rodgers,QB,NYJ,25,17.84,4.33,11.84,1.91,9,26,7,14
5012,Mark Andrews,TE,BAL,25,18.24,3.39,2.12,0.33,13,25,2,3
2028,Derek Carr,QB,NO,25,19.56,4.74,12.64,2.2,7,28,6,16
4663,Austin Ekeler,RB,LAC,25,20.44,5.18,3.68,1.07,9,28,2,6
7564,Ja'Marr Chase,WR,CIN,25,21.84,3.44,2.96,0.61,16,30,2,4
1166,Kirk Cousins,QB,MIN,25,21.96,4.29,13.6,1.15,17,37,11,15
7528,Najee Harris,RB,PIT,25,22.88,5.56,4.72,1.46,12,32,3,8
3198,Derrick Henry,RB,TEN,25,23.4,5.6,4.96,1.43,11,34,3,8
7553,Kyle Pitts,TE,ATL,25,24.44,5.58,2.92,0.4,12,34,2,4
7610,Trey Lance,QB,SF,25,24.68,6.98,14.2,2.18,5,42,5,16
4029,Dalvin Cook,RB,MIN,25,26.36,4.32,5.68,1.25,15,39,3,9
2133,Davante Adams,WR,LV,25,29,4.9,4.56,1.16,13,35,2,8
2449,Stefon Diggs,WR,BUF,25,30.2,3.86,4.92,0.91,23,37,3,7
4018,Joe Mixon,RB,CIN,25,30.44,5.2,7.32,1.86,17,41,3,10
6790,D'Andre Swift,RB,PHI,25,31.64,4.06,7.8,1.35,24,40,5,11
6768,Tua Tagovailoa,QB,MIA,25,35.04,7.42,16.56,0.87,26,54,15,19
6786,CeeDee Lamb,WR,DAL,25,35.28,5.29,6.32,1.35,25,45,3,8
4199,Aaron Jones,RB,GB,25,35.48,4.63,9.6,1.73,28,43,7,14
4866,Saquon Barkley,RB,NYG,25,35.88,5.51,9.84,2.46,25,45,4,16
4217,George Kittle,TE,SF,25,36.56,6.32,4.4,0.58,24,48,3,5
2505,Darren Waller,TE,NYG,25,37.8,6.61,4.56,0.51,26,50,4,5
5872,Deebo Samuel,WR,SF,25,38.76,5.8,7.68,1.77,28,51,5,12
4988,Nick Chubb,RB,CLE,25,39.48,5.94,11.28,2.23,26,52,6,17
2216,Mike Evans,WR,TB,25,39.76,3.73,8,1.12,29,47,5,10
3321,Tyreek Hill,WR,MIA,25,40.24,5.56,8.24,1.74,30,53,5,12
3969,Leonard Fournette,RB,NA,25,42.8,6.2,12.64,2,35,55,10,18
7588,Javonte Williams,RB,DEN,25,42.88,5.97,12.76,2.3,33,57,9,19
7523,Trevor Lawrence,QB,JAX,25,47.68,10.93,17.96,1.51,28,78,15,22
5859,A.J. Brown,WR,PHI,25,47.72,6.02,10.76,1.81,29,60,6,15
6801,Tee Higgins,WR,CIN,25,48.32,4.77,10.76,1.54,39,56,7,14
4035,Alvin Kamara,RB,NO,25,48.64,8.51,14.92,2.72,35,68,9,21
1479,Keenan Allen,WR,LAC,25,50.2,5.36,11.88,1.92,38,60,8,17
8155,Breece Hall,RB,NYJ,25,52.08,7.72,16.08,2.47,41,75,12,21
4137,James Conner,RB,ARI,25,52.12,7.1,16.32,2.39,37,71,11,22
7591,Justin Fields,QB,CHI,25,52.36,14.26,18.68,1.91,29,83,16,23
3164,Ezekiel Elliott,RB,NA,25,53,8.64,16.72,2.53,37,72,11,21
6819,Michael Pittman,WR,IND,25,54.08,4.25,13.08,1.66,46,63,10,17
24,Matt Ryan,QB,NA,25,54.52,13.27,18.76,1.51,28,80,16,21
7543,Travis Etienne,RB,JAX,25,54.96,8.17,17.28,2.69,39,69,12,23
5001,Dalton Schultz,TE,HOU,25,55.08,8.69,6.48,0.87,41,73,6,9
4983,DJ Moore,WR,CHI,25,58.96,6.23,15.16,1.89,48,70,11,18
6938,Cam Akers,RB,LAR,25,59.64,8.1,19,2.2,45,73,15,24
7526,Jaylen Waddle,WR,MIA,25,60.2,6.92,15.56,2.57,48,72,11,20
5937,Diontae Johnson,WR,PIT,25,61.76,6.51,16.48,2.24,47,75,13,21
5892,David Montgomery,RB,DET,25,61.84,6.49,19.64,1.5,49,82,16,23
5844,T.J. Hockenson,TE,MIN,25,63.88,10.2,7.36,0.99,46,83,6,10
5927,Terry McLaurin,WR,WAS,25,64.24,7.32,17.56,3.27,52,76,13,26
4068,Mike Williams,WR,LAC,25,64.44,6,17.64,2.51,56,80,14,22
7527,Mac Jones,QB,NE,25,64.56,18.42,19.84,1.6,24,110,16,23
5022,Dallas Goedert,TE,PHI,25,67.08,9.14,8.04,0.89,45,84,6,9
6806,J.K. Dobbins,RB,BAL,25,68.48,11.59,21.36,3.35,36,87,12,26
5846,DK Metcalf,WR,SEA,25,69.36,7.69,19.88,3.3,52,81,12,27
5848,Marquise Brown,WR,ARI,25,69.8,6.13,20.52,2.79,58,80,16,25
5045,Courtland Sutton,WR,DEN,25,70.04,5.08,20.52,3.11,59,80,14,26
6945,Antonio Gibson,RB,WAS,25,71.52,10.87,21.96,2.35,47,90,16,25
5850,Josh Jacobs,RB,LV,25,73.48,12.35,22.72,2.89,37,97,11,26
7561,Elijah Mitchell,RB,SF,25,73.68,8.87,22.8,2.35,49,91,16,28
2197,Brandin Cooks,WR,DAL,25,74.96,4.25,22.92,1.78,67,83,19,27
1992,Allen Robinson,WR,PIT,25,75.56,5.74,23.4,2.75,65,89,17,29
6783,Jerry Jeudy,WR,DEN,25,77.16,7.94,24.48,3.9,64,92,18,31
1339,Zach Ertz,TE,ARI,25,78.04,12.85,9.16,1.18,52,104,7,11
6828,AJ Dillon,RB,GB,25,79.28,9.59,24.2,2.42,61,93,16,27
1049,Ryan Tannehill,QB,TEN,25,80.48,23.87,21.88,2.22,45,121,18,26
7090,Darnell Mooney,WR,CHI,25,80.76,8.15,26.32,3.91,60,96,18,34
7571,Rashod Bateman,WR,BAL,25,82.88,5.98,27.56,2.57,73,93,23,31
2309,Amari Cooper,WR,CLE,25,84.4,10.68,28.28,5.02,56,104,17,38
5906,Dawson Knox,TE,BUF,25,84.96,18.74,10.12,1.88,40,115,6,13
7547,Amon-Ra St. Brown,WR,DET,25,84.96,6.69,28.32,3.83,71,95,19,34
6943,Gabe Davis,WR,BUF,25,85.12,7.77,29.12,3.72,61,99,19,35
2306,Jameis Winston,QB,NO,25,86.08,18.92,22.32,2.27,40,115,17,26
4037,Chris Godwin,WR,TB,25,86.16,9.09,29.04,5.4,65,106,18,40
4040,JuJu Smith-Schuster,WR,NE,25,89.64,8.74,31.12,3.95,74,109,24,39
